iter	Logloss
0	0.6646014457
1	0.6432483461
2	0.6241937233
3	0.6084961212
4	0.5948582588
5	0.5832638284
6	0.5730807681
7	0.5646332598
8	0.5566083734
9	0.5493803015
10	0.5429646987
11	0.5371265515
12	0.5320218625
13	0.5267319692
14	0.5223060132
15	0.5184984229
16	0.5150468909
17	0.5120617909
18	0.5085181462
19	0.5052571503
20	0.5023522989
21	0.4995058628
22	0.4967575588
23	0.4954997583
24	0.4924537847
25	0.4907482965
26	0.4881945964
27	0.4865405618
28	0.4854133591
29	0.4845100573
30	0.4836408706
31	0.482645478
32	0.4814426583
33	0.4802309897
34	0.4790440564
35	0.4778822048
36	0.4768344999
37	0.4759921683
38	0.4748747622
39	0.4742606399
40	0.4736191563
41	0.472689637
42	0.4715739547
43	0.4710126984
44	0.4705217391
45	0.4695071412
46	0.4691007186
47	0.4684717572
48	0.4680574509
49	0.467815756
50	0.4672662079
51	0.466922551
52	0.4666430965
53	0.4663003073
54	0.4659311045
55	0.465545952
56	0.4650314907
57	0.4646169494
58	0.4640541291
59	0.463412063
60	0.4628679833
61	0.4626752664
62	0.4624439815
63	0.4621791381
64	0.4617430841
65	0.461667456
66	0.4616663641
67	0.4616043395
68	0.4611895512
69	0.4609459673
70	0.4607033653
71	0.4605825885
72	0.4604121801
73	0.4600770873
74	0.4599424725
75	0.4599087623
76	0.4597343587
77	0.4594970594
78	0.4593389094
79	0.4590981215
80	0.4588469945
81	0.4585806426
82	0.4583557779
83	0.458208235
84	0.4581653604
85	0.4575921241
86	0.4570588188
87	0.4566887857
88	0.4566585629
89	0.4564379764
90	0.4563315151
91	0.4563070606
92	0.4562506963
93	0.4561434834
94	0.4555947249
95	0.455584383
96	0.4550436505
97	0.4548115983
98	0.4547904985
99	0.4546956932
