iter	Passed	Remaining
0	207	20541
1	243	11937
2	284	9206
3	325	7817
4	361	6875
5	404	6337
6	448	5964
7	489	5623
8	529	5353
9	571	5140
10	609	4933
11	649	4761
12	674	4515
13	712	4377
14	754	4276
15	793	4165
16	835	4078
17	874	3981
18	929	3960
19	969	3877
20	1009	3796
21	1046	3711
22	1084	3629
23	1109	3514
24	1147	3443
25	1185	3374
26	1226	3317
27	1268	3261
28	1306	3197
29	1344	3136
30	1382	3076
31	1420	3018
32	1457	2958
33	1494	2900
34	1532	2846
35	1573	2796
36	1612	2746
37	1653	2697
38	1692	2647
39	1729	2594
40	1769	2546
41	1794	2477
42	1832	2428
43	1869	2379
44	1908	2332
45	1949	2288
46	1987	2240
47	2023	2192
48	2060	2144
49	2095	2095
50	2131	2047
51	2156	1990
52	2174	1928
53	2213	1885
54	2255	1845
55	2296	1804
56	2337	1763
57	2378	1722
58	2419	1681
59	2460	1640
60	2498	1597
61	2530	1550
62	2571	1510
63	2591	1457
64	2636	1419
65	2674	1377
66	2687	1323
67	2715	1277
68	2755	1237
69	2794	1197
70	2825	1154
71	2866	1114
72	2905	1074
73	2944	1034
74	2980	993
75	3016	952
76	3056	912
77	3098	873
78	3140	834
79	3179	794
80	3221	755
81	3259	715
82	3300	675
83	3337	635
84	3351	591
85	3389	551
86	3426	511
87	3465	472
88	3503	432
89	3540	393
90	3580	354
91	3599	313
92	3637	273
93	3667	234
94	3705	195
95	3730	155
96	3768	116
97	3808	77
98	3845	38
99	3886	0
